theta_deg,a,mismatch_plus,mismatch_cross
30.0,0.0,0.019192307831994437,0.018089327580469106
30.0,0.8,0.01687859616218612,0.01558620066440608
30.0,0.99,0.02391524626971009,0.022307233891227574
30.0,0.999,0.018002990868971724,0.016615114464217928
30.0,-0.99,0.024162955665808727,0.02341677290139821
60.0,0.0,0.0033497905211516965,0.0052011089413610545
60.0,0.8,0.0028288539749347086,0.004200208861132926
60.0,0.99,0.003177500576185044,0.004691026397852016
60.0,0.999,0.0032549416966416445,0.004821596811641626
60.0,-0.99,0.0037583633483468937,0.005825416621290769
